timestamp,model,device_type,mfg,id,api,data
1759.596696,Unknown Device,2,4,3,181,"[252, 127, 0, 192, 83, 19, 26, 24]"
1759.597271,Unknown Device,1,1,0,97,"[112, 153, 74, 252, 0, 0, 0, 255]"
1759.597842,Unknown Device,2,4,3,183,"[0, 0, 224, 251, 255, 255, 0, 0]"
1759.598467,Unknown Device,2,5,5,738,"[246, 124, 160, 51, 0, 0, 0, 128]"
1759.599028,Unknown Device,2,4,3,185,"[0, 0, 0, 0, 0, 0, 0, 128]"
1759.599569,Unknown Device,2,4,3,187,"[0, 0, 4, 0, 0, 0, 0, 0]"
1759.600101,Unknown,Unknown,Unknown,Unknown,997,"[42, 69, 108, 101, 99, 116, 114, 111]"
1759.600707,Unknown Device,2,4,4,177,"[0, 0, 0, 98, 0, 16, 1, 0]"
1759.601296,Unknown Device,2,4,2,177,"[0, 0, 0, 98, 0, 16, 233, 255]"
1759.601873,Unknown Device,2,5,9,736,"[0, 0, 153, 6, 0, 23, 32, 0]"
1759.602448,Unknown Device,21,4,20,180,"[8, 0, 0, 80, 255, 8, 128, 1]"
1759.603027,Unknown Device,2,4,3,177,"[0, 0, 0, 226, 0, 16, 14, 0]"
1759.604527,Unknown,Unknown,Unknown,Unknown,997,"[43, 110, 105, 99, 115, 0, 0, 0]"
1759.604684,Unknown Device,8,5,21,96,"[0, 0, 0, 0, 0, 0, 0, 0]"
1759.604828,Unknown Device,8,5,21,97,"[0, 0, 0, 0, 0, 0, 0, 192]"
1759.605326,Unknown Device,8,5,21,98,"[0, 0, 0, 64, 0, 0, 0, 192]"
1759.606032,Unknown Device,8,5,21,99,"[0, 0, 112, 0, 0, 0, 0, 240]"
1759.606551,Unknown Device,8,5,21,100,"[37, 38, 24, 250, 0, 192, 125, 0]"
1759.607172,Unknown Device,2,5,0,96,"[0, 0, 0, 0, 128, 3, 16, 0]"
1759.607782,Unknown Device,2,5,7,736,"[0, 0, 124, 6, 0, 24, 48, 0]"
1759.608406,Unknown Device,2,5,7,738,"[0, 0, 0, 128, 0, 0, 0, 128]"
1759.60903,Unknown Device,2,5,0,736,"[0, 0, 169, 6, 0, 24, 0, 0]"
1759.609628,Unknown Device,2,4,4,177,"[0, 0, 0, 98, 0, 16, 248, 255]"
1759.610229,Unknown,Unknown,Unknown,Unknown,997,"[44, 0, 0, 0, 0, 0, 0, 0]"
1759.610846,Unknown Device,2,4,4,183,"[0, 0, 224, 8, 0, 0, 0, 0]"
1759.611454,Unknown Device,2,4,2,183,"[0, 0, 64, 7, 0, 0, 0, 0]"
1759.612076,Unknown Device,2,5,9,736,"[0, 0, 151, 6, 0, 23, 32, 0]"
1759.612686,Unknown Device,2,4,1,183,"[0, 0, 128, 248, 255, 255, 0, 0]"
1759.613308,Unknown Device,21,4,20,285,"[0, 0, 0, 0, 0, 96, 4, 0]"
1759.613911,Unknown Device,21,4,20,196,"[34, 1, 211, 0, 32, 127, 0, 0]"
1759.614533,Unknown Device,2,4,3,183,"[0, 0, 224, 251, 255, 255, 0, 0]"
1759.615134,Unknown Device,21,4,20,205,"[0, 0, 0, 0, 0, 0, 0, 0]"
1759.615758,Unknown Device,2,5,0,100,"[0, 0, 0, 0, 0, 0, 0, 0]"
1759.616358,Unknown Device,2,5,10,736,"[0, 0, 168, 6, 0, 23, 32, 0]"
1759.61703,Unknown Device,2,5,0,96,"[0, 0, 0, 0, 128, 3, 16, 0]"
1759.617579,Unknown Device,2,5,0,99,"[0, 0, 0, 0, 0, 0, 0, 0]"
1759.618197,Unknown Device,1,1,0,97,"[112, 153, 74, 252, 0, 0, 0, 255]"
1759.619474,Unknown Device,2,4,4,177,"[0, 0, 0, 98, 0, 16, 236, 255]"
1759.619604,Unknown,Unknown,Unknown,Unknown,997,"[46, 19, 170, 170, 170, 170, 170, 170]"
1759.620027,Unknown Device,2,4,2,177,"[0, 0, 0, 98, 0, 16, 232, 255]"
1759.620643,Unknown Device,2,4,1,177,"[0, 0, 0, 226, 0, 16, 234, 255]"
1759.621247,Unknown Device,2,5,9,736,"[0, 0, 152, 6, 0, 23, 32, 0]"
1759.621875,Unknown Device,21,4,20,180,"[8, 0, 0, 80, 255, 8, 128, 1]"
1759.622482,Unknown Device,2,5,0,103,"[0, 0, 0, 0, 0, 0, 0, 0]"
1759.6231,Unknown Device,2,4,3,177,"[0, 0, 0, 226, 0, 16, 249, 255]"
1759.623702,Unknown Device,0,4,63,1,"[52, 94, 170, 125, 113, 227, 211, 30]"
1759.624659,Unknown Device,8,5,21,96,"[0, 0, 0, 0, 0, 0, 0, 0]"
1759.624916,Unknown Device,2,5,8,737,"[0, 0, 0, 0, 0, 64, 0, 0]"
1759.625542,Unknown Device,2,5,10,737,"[0, 0, 0, 0, 0, 64, 0, 0]"
1759.626138,Unknown Device,8,5,21,97,"[0, 0, 0, 0, 0, 0, 0, 192]"
1759.626751,Unknown Device,8,5,21,100,"[37, 38, 24, 250, 0, 192, 125, 0]"
1759.627355,Unknown Device,2,5,0,96,"[0, 0, 0, 0, 128, 3, 16, 0]"
1759.628031,Unknown,Unknown,Unknown,Unknown,996,"[1, 187, 170, 170, 170, 170, 170, 170]"
1759.628579,Unknown Device,2,5,7,736,"[0, 0, 124, 6, 0, 24, 48, 0]"
1759.629198,Unknown,Unknown,Unknown,Unknown,997,"[6, 251, 1, 163, 115, 5, 0, 170]"
1759.629804,Unknown Device,2,5,7,738,"[0, 0, 0, 128, 0, 0, 0, 128]"
1759.630422,Unknown Device,2,5,0,736,"[0, 0, 168, 6, 0, 24, 0, 0]"
1759.631033,Unknown Device,2,5,8,736,"[0, 0, 169, 6, 0, 24, 48, 0]"
1759.631653,Unknown Device,2,5,9,738,"[0, 0, 0, 0, 236, 140, 136, 63]"
1759.63225,Unknown Device,2,5,9,736,"[0, 0, 152, 6, 0, 23, 32, 0]"
1759.632834,Unknown Device,2,5,6,738,"[0, 0, 0, 128, 0, 0, 0, 128]"
1759.633438,Unknown Device,21,4,20,195,"[241, 159, 6, 192, 253, 3, 0, 5]"
1759.634049,Unknown Device,2,4,3,177,"[0, 0, 0, 226, 0, 16, 7, 0]"
1759.635026,Unknown Device,2,4,3,183,"[0, 0, 224, 251, 255, 255, 0, 0]"
1759.636277,Unknown Device,2,5,0,97,"[0, 0, 0, 0, 30, 51, 6, 0]"
1759.636747,Unknown Device,2,5,10,736,"[0, 0, 168, 6, 0, 23, 32, 0]"
1759.637243,Unknown Device,2,5,0,96,"[0, 0, 0, 0, 128, 3, 16, 0]"
1759.637655,Unknown,Unknown,Unknown,Unknown,996,"[1, 200, 170, 170, 170, 170, 170, 170]"
1759.638165,Unknown,Unknown,Unknown,Unknown,997,"[16, 12, 8, 0, 9, 70, 76, 32]"
1759.638713,Unknown Device,1,1,0,97,"[112, 153, 74, 252, 0, 0, 0, 255]"
1759.639401,Unknown Device,2,4,4,177,"[0, 0, 0, 98, 0, 16, 242, 255]"
1759.639892,Unknown Device,2,4,2,177,"[0, 0, 0, 98, 0, 16, 243, 255]"
1759.640581,Unknown Device,2,4,1,177,"[0, 0, 0, 226, 0, 16, 248, 255]"
1759.6411,Unknown Device,2,5,9,736,"[0, 0, 152, 6, 0, 23, 32, 0]"
1759.641711,Unknown Device,21,4,20,180,"[8, 0, 0, 80, 255, 8, 128, 1]"
1759.642383,Unknown Device,2,4,3,177,"[0, 0, 0, 226, 0, 16, 22, 0]"
1759.6429,Unknown,Unknown,Unknown,Unknown,996,"[48, 0, 5, 170, 170, 170, 170, 170]"
1759.644657,Unknown Device,8,5,21,96,"[0, 0, 0, 0, 0, 0, 0, 0]"
1759.644801,Unknown Device,8,5,21,97,"[0, 0, 0, 0, 0, 0, 0, 192]"
1759.644945,Unknown Device,8,5,21,98,"[0, 0, 0, 64, 0, 0, 0, 192]"
1759.645257,Unknown Device,8,5,21,99,"[0, 0, 112, 0, 0, 0, 0, 240]"
1759.645877,Unknown Device,8,5,21,100,"[37, 38, 24, 250, 0, 192, 125, 0]"
1759.646476,Unknown Device,2,5,0,96,"[0, 0, 0, 0, 128, 3, 16, 0]"
1759.64719,Unknown Device,2,5,7,736,"[0, 0, 124, 6, 0, 24, 48, 0]"
1759.648195,Unknown Device,2,5,7,738,"[0, 0, 0, 128, 0, 0, 0, 128]"
1759.648559,Unknown,Unknown,Unknown,Unknown,997,"[33, 75, 114, 97, 107, 101, 110, 170]"
1759.648934,Unknown Device,2,5,0,736,"[0, 0, 168, 6, 0, 24, 0, 0]"
1759.649553,Unknown Device,2,4,4,177,"[0, 0, 0, 98, 0, 16, 1, 0]"
1759.650155,Unknown Device,2,4,4,183,"[0, 0, 224, 8, 0, 0, 0, 0]"
1759.65075,Unknown Device,2,5,8,736,"[0, 0, 169, 6, 0, 24, 48, 0]"
1759.651288,Unknown Device,2,5,8,738,"[0, 0, 0, 128, 0, 0, 0, 128]"
1759.651919,Unknown Device,2,5,9,736,"[0, 0, 152, 6, 0, 23, 32, 0]"
1759.65252,Unknown Device,2,5,6,736,"[0, 0, 161, 6, 0, 24, 48, 0]"
1759.653149,Unknown Device,2,5,5,736,"[0, 0, 133, 6, 0, 24, 48, 0]"
1759.653759,Unknown Device,2,4,3,177,"[0, 0, 0, 226, 0, 16, 37, 0]"
1759.654381,Unknown Device,2,4,3,183,"[0, 0, 224, 251, 255, 255, 0, 0]"
1759.655031,Unknown Device,2,5,0,97,"[0, 0, 0, 0, 30, 50, 6, 0]"
1759.655613,Unknown Device,2,5,0,100,"[0, 0, 0, 0, 0, 0, 0, 0]"
1759.656214,Unknown Device,2,5,10,736,"[0, 0, 168, 6, 0, 23, 32, 0]"
1759.656824,Unknown,Unknown,Unknown,Unknown,996,"[2, 62, 0, 170, 170, 170, 170, 170]"
1759.657333,Unknown Device,2,5,0,96,"[0, 0, 0, 0, 128, 3, 16, 0]"
1759.658808,Unknown Device,1,1,0,97,"[112, 153, 74, 252, 0, 0, 0, 255]"
1759.659455,Unknown Device,2,4,4,177,"[0, 0, 0, 98, 0, 16, 247, 255]"
1759.659781,Unknown Device,2,4,2,177,"[0, 0, 0, 98, 0, 16, 225, 255]"
1759.660431,Unknown Device,2,4,1,177,"[0, 0, 0, 226, 0, 16, 227, 255]"
1759.6607,Unknown Device,2,5,9,736,"[0, 0, 152, 6, 0, 23, 32, 0]"
1759.661465,Unknown Device,21,4,20,180,"[8, 0, 0, 80, 255, 8, 128, 1]"
1759.661665,Unknown,Unknown,Unknown,Unknown,996,"[1, 176, 170, 170, 170, 170, 170, 170]"
1759.662133,Unknown,Unknown,Unknown,Unknown,997,"[16, 98, 240, 26, 1, 1, 0, 253]"
1759.662607,Unknown Device,2,4,3,177,"[0, 0, 0, 226, 0, 16, 24, 0]"
1759.664653,Unknown Device,8,5,21,96,"[0, 0, 0, 0, 0, 0, 0, 0]"
1759.664805,Unknown Device,8,5,21,97,"[0, 0, 0, 0, 0, 0, 0, 192]"
