timestamp,model,device_type,mfg,id,api,data
2626.265418,Unknown Device,2,4,1,285,"[0, 0, 0, 0, 0, 0, 0, 0]"
2626.265562,Unknown Device,2,4,2,185,"[0, 0, 0, 0, 0, 0, 0, 128]"
2626.265714,Unknown Device,2,4,1,193,"[0, 243, 199, 46, 0, 0, 0, 0]"
2626.265859,Unknown Device,2,4,2,186,"[8, 0, 0, 0, 0, 0, 0, 0]"
2626.265993,Unknown Device,2,4,4,187,"[0, 0, 4, 0, 0, 0, 0, 0]"
2626.266174,Unknown Device,2,4,1,177,"[0, 0, 0, 226, 0, 16, 238, 255]"
2626.266318,Unknown Device,2,4,1,181,"[247, 127, 0, 64, 83, 22, 28, 24]"
2626.266462,Unknown Device,2,4,2,187,"[0, 0, 4, 0, 0, 0, 0, 0]"
2626.2666,Unknown Device,2,4,1,182,"[0, 0, 192, 62, 255, 255, 0, 0]"
2626.266744,Unknown Device,8,5,21,96,"[0, 0, 0, 0, 0, 0, 0, 0]"
2626.266888,Unknown Device,8,5,21,97,"[0, 0, 0, 0, 0, 0, 0, 192]"
2626.267045,Unknown Device,8,5,21,98,"[0, 0, 0, 64, 0, 0, 0, 192]"
2626.267161,Unknown Device,2,4,3,431,"[0, 0, 0, 0, 1, 26, 19, 0]"
2626.267313,Unknown Device,0,4,63,1,"[52, 94, 169, 123, 253, 222, 187, 57]"
2626.267443,Unknown Device,2,4,1,183,"[0, 0, 128, 248, 255, 255, 0, 0]"
2626.267587,Unknown Device,2,5,7,736,"[0, 0, 119, 6, 0, 24, 48, 0]"
2626.267739,Unknown Device,2,4,1,184,"[0, 0, 0, 0, 0, 0, 0, 128]"
2626.267905,Unknown Device,2,4,3,285,"[0, 0, 0, 0, 0, 0, 0, 0]"
2626.268026,Unknown Device,2,5,7,738,"[0, 0, 0, 128, 0, 0, 0, 128]"
2626.268178,Unknown Device,2,4,3,193,"[0, 243, 199, 46, 0, 0, 0, 0]"
2626.268308,Unknown Device,2,4,1,185,"[0, 0, 0, 0, 0, 0, 0, 128]"
2626.26846,Unknown Device,8,5,21,99,"[0, 0, 112, 0, 0, 0, 0, 240]"
2626.268604,Unknown Device,2,4,1,186,"[8, 0, 0, 0, 0, 0, 0, 0]"
2626.268756,Unknown Device,2,4,1,187,"[0, 0, 4, 0, 0, 0, 0, 0]"
