timestamp,id,data
1759.596696,33828163,"[252, 127, 0, 192, 83, 19, 26, 24]"
1759.597271,16848960,"[112, 153, 74, 252, 0, 0, 0, 255]"
1759.597842,33828291,"[0, 0, 224, 251, 255, 255, 0, 0]"
1759.598467,33929349,"[246, 124, 160, 51, 0, 0, 0, 128]"
1759.599028,33828419,"[0, 0, 0, 0, 0, 0, 0, 128]"
1759.599569,33828547,"[0, 0, 4, 0, 0, 0, 0, 0]"
1759.600101,33880390,"[42, 69, 108, 101, 99, 116, 114, 111]"
1759.600707,33827908,"[0, 0, 0, 98, 0, 16, 1, 0]"
1759.601296,33827906,"[0, 0, 0, 98, 0, 16, 233, 255]"
1759.601873,33929225,"[0, 0, 153, 6, 0, 23, 32, 0]"
1759.602448,352595220,"[8, 0, 0, 80, 255, 8, 128, 1]"
1759.603027,33827907,"[0, 0, 0, 226, 0, 16, 14, 0]"
1759.604527,33880390,"[43, 110, 105, 99, 115, 0, 0, 0]"
1759.604684,134551573,"[0, 0, 0, 0, 0, 0, 0, 0]"
1759.604828,134551637,"[0, 0, 0, 0, 0, 0, 0, 192]"
1759.605326,134551701,"[0, 0, 0, 64, 0, 0, 0, 192]"
1759.606032,134551765,"[0, 0, 112, 0, 0, 0, 0, 240]"
1759.606551,134551829,"[37, 38, 24, 250, 0, 192, 125, 0]"
1759.607172,33888256,"[0, 0, 0, 0, 128, 3, 16, 0]"
1759.607782,33929223,"[0, 0, 124, 6, 0, 24, 48, 0]"
1759.608406,33929351,"[0, 0, 0, 128, 0, 0, 0, 128]"
1759.60903,33929216,"[0, 0, 169, 6, 0, 24, 0, 0]"
1759.609628,33827908,"[0, 0, 0, 98, 0, 16, 248, 255]"
1759.610229,33880390,"[44, 0, 0, 0, 0, 0, 0, 0]"
1759.610846,33828292,"[0, 0, 224, 8, 0, 0, 0, 0]"
1759.611454,33828290,"[0, 0, 64, 7, 0, 0, 0, 0]"
1759.612076,33929225,"[0, 0, 151, 6, 0, 23, 32, 0]"
1759.612686,33828289,"[0, 0, 128, 248, 255, 255, 0, 0]"
1759.613308,352601940,"[0, 0, 0, 0, 0, 96, 4, 0]"
1759.613911,352596244,"[34, 1, 211, 0, 32, 127, 0, 0]"
1759.614533,33828291,"[0, 0, 224, 251, 255, 255, 0, 0]"
1759.615134,352596820,"[0, 0, 0, 0, 0, 0, 0, 0]"
1759.615758,33888512,"[0, 0, 0, 0, 0, 0, 0, 0]"
1759.616358,33929226,"[0, 0, 168, 6, 0, 23, 32, 0]"
1759.61703,33888256,"[0, 0, 0, 0, 128, 3, 16, 0]"
1759.617579,33888448,"[0, 0, 0, 0, 0, 0, 0, 0]"
1759.618197,16848960,"[112, 153, 74, 252, 0, 0, 0, 255]"
1759.619474,33827908,"[0, 0, 0, 98, 0, 16, 236, 255]"
1759.619604,33880390,"[46, 19, 170, 170, 170, 170, 170, 170]"
1759.620027,33827906,"[0, 0, 0, 98, 0, 16, 232, 255]"
1759.620643,33827905,"[0, 0, 0, 226, 0, 16, 234, 255]"
1759.621247,33929225,"[0, 0, 152, 6, 0, 23, 32, 0]"
1759.621875,352595220,"[8, 0, 0, 80, 255, 8, 128, 1]"
1759.622482,33888704,"[0, 0, 0, 0, 0, 0, 0, 0]"
1759.6231,33827907,"[0, 0, 0, 226, 0, 16, 249, 255]"
1759.623702,262271,"[52, 94, 170, 125, 113, 227, 211, 30]"
1759.624659,134551573,"[0, 0, 0, 0, 0, 0, 0, 0]"
1759.624916,33929288,"[0, 0, 0, 0, 0, 64, 0, 0]"
1759.625542,33929290,"[0, 0, 0, 0, 0, 64, 0, 0]"
1759.626138,134551637,"[0, 0, 0, 0, 0, 0, 0, 192]"
1759.626751,134551829,"[37, 38, 24, 250, 0, 192, 125, 0]"
1759.627355,33888256,"[0, 0, 0, 0, 128, 3, 16, 0]"
1759.628031,33880326,"[1, 187, 170, 170, 170, 170, 170, 170]"
1759.628579,33929223,"[0, 0, 124, 6, 0, 24, 48, 0]"
1759.629198,33880390,"[6, 251, 1, 163, 115, 5, 0, 170]"
1759.629804,33929351,"[0, 0, 0, 128, 0, 0, 0, 128]"
1759.630422,33929216,"[0, 0, 168, 6, 0, 24, 0, 0]"
1759.631033,33929224,"[0, 0, 169, 6, 0, 24, 48, 0]"
1759.631653,33929353,"[0, 0, 0, 0, 236, 140, 136, 63]"
1759.63225,33929225,"[0, 0, 152, 6, 0, 23, 32, 0]"
1759.632834,33929350,"[0, 0, 0, 128, 0, 0, 0, 128]"
1759.633438,352596180,"[241, 159, 6, 192, 253, 3, 0, 5]"
1759.634049,33827907,"[0, 0, 0, 226, 0, 16, 7, 0]"
1759.635026,33828291,"[0, 0, 224, 251, 255, 255, 0, 0]"
1759.636277,33888320,"[0, 0, 0, 0, 30, 51, 6, 0]"
1759.636747,33929226,"[0, 0, 168, 6, 0, 23, 32, 0]"
1759.637243,33888256,"[0, 0, 0, 0, 128, 3, 16, 0]"
1759.637655,33880326,"[1, 200, 170, 170, 170, 170, 170, 170]"
1759.638165,33880390,"[16, 12, 8, 0, 9, 70, 76, 32]"
1759.638713,16848960,"[112, 153, 74, 252, 0, 0, 0, 255]"
1759.639401,33827908,"[0, 0, 0, 98, 0, 16, 242, 255]"
1759.639892,33827906,"[0, 0, 0, 98, 0, 16, 243, 255]"
1759.640581,33827905,"[0, 0, 0, 226, 0, 16, 248, 255]"
1759.6411,33929225,"[0, 0, 152, 6, 0, 23, 32, 0]"
1759.641711,352595220,"[8, 0, 0, 80, 255, 8, 128, 1]"
1759.642383,33827907,"[0, 0, 0, 226, 0, 16, 22, 0]"
1759.6429,33880326,"[48, 0, 5, 170, 170, 170, 170, 170]"
1759.644657,134551573,"[0, 0, 0, 0, 0, 0, 0, 0]"
1759.644801,134551637,"[0, 0, 0, 0, 0, 0, 0, 192]"
1759.644945,134551701,"[0, 0, 0, 64, 0, 0, 0, 192]"
1759.645257,134551765,"[0, 0, 112, 0, 0, 0, 0, 240]"
1759.645877,134551829,"[37, 38, 24, 250, 0, 192, 125, 0]"
1759.646476,33888256,"[0, 0, 0, 0, 128, 3, 16, 0]"
1759.64719,33929223,"[0, 0, 124, 6, 0, 24, 48, 0]"
1759.648195,33929351,"[0, 0, 0, 128, 0, 0, 0, 128]"
1759.648559,33880390,"[33, 75, 114, 97, 107, 101, 110, 170]"
1759.648934,33929216,"[0, 0, 168, 6, 0, 24, 0, 0]"
1759.649553,33827908,"[0, 0, 0, 98, 0, 16, 1, 0]"
1759.650155,33828292,"[0, 0, 224, 8, 0, 0, 0, 0]"
1759.65075,33929224,"[0, 0, 169, 6, 0, 24, 48, 0]"
1759.651288,33929352,"[0, 0, 0, 128, 0, 0, 0, 128]"
1759.651919,33929225,"[0, 0, 152, 6, 0, 23, 32, 0]"
1759.65252,33929222,"[0, 0, 161, 6, 0, 24, 48, 0]"
1759.653149,33929221,"[0, 0, 133, 6, 0, 24, 48, 0]"
1759.653759,33827907,"[0, 0, 0, 226, 0, 16, 37, 0]"
1759.654381,33828291,"[0, 0, 224, 251, 255, 255, 0, 0]"
1759.655031,33888320,"[0, 0, 0, 0, 30, 50, 6, 0]"
1759.655613,33888512,"[0, 0, 0, 0, 0, 0, 0, 0]"
1759.656214,33929226,"[0, 0, 168, 6, 0, 23, 32, 0]"
1759.656824,33880327,"[2, 62, 0, 170, 170, 170, 170, 170]"
1759.657333,33888256,"[0, 0, 0, 0, 128, 3, 16, 0]"
1759.658808,16848960,"[112, 153, 74, 252, 0, 0, 0, 255]"
1759.659455,33827908,"[0, 0, 0, 98, 0, 16, 247, 255]"
1759.659781,33827906,"[0, 0, 0, 98, 0, 16, 225, 255]"
1759.660431,33827905,"[0, 0, 0, 226, 0, 16, 227, 255]"
1759.6607,33929225,"[0, 0, 152, 6, 0, 23, 32, 0]"
1759.661465,352595220,"[8, 0, 0, 80, 255, 8, 128, 1]"
1759.661665,33880327,"[1, 176, 170, 170, 170, 170, 170, 170]"
1759.662133,33880391,"[16, 98, 240, 26, 1, 1, 0, 253]"
1759.662607,33827907,"[0, 0, 0, 226, 0, 16, 24, 0]"
1759.664653,134551573,"[0, 0, 0, 0, 0, 0, 0, 0]"
1759.664805,134551637,"[0, 0, 0, 0, 0, 0, 0, 192]"
1759.664949,134551701,"[0, 0, 0, 64, 0, 0, 0, 192]"
1759.665097,134551765,"[0, 0, 112, 0, 0, 0, 0, 240]"
1759.66534,134551829,"[40, 38, 24, 250, 0, 192, 125, 0]"
1759.667285,262271,"[52, 94, 169, 121, 219, 179, 255, 193]"
1759.667726,33888256,"[0, 0, 0, 0, 128, 3, 16, 0]"
1759.668093,33929223,"[0, 0, 124, 6, 0, 24, 48, 0]"
1759.668433,33880327,"[48, 0, 5, 170, 170, 170, 170, 170]"
1759.668758,33929351,"[0, 0, 0, 128, 0, 0, 0, 128]"
1759.66906,33929216,"[0, 0, 169, 6, 0, 24, 0, 0]"
1759.669535,33827908,"[0, 0, 0, 98, 0, 16, 242, 255]"
1759.669684,33929353,"[0, 0, 0, 0, 236, 140, 136, 63]"
1759.66994,33828292,"[0, 0, 224, 8, 0, 0, 0, 0]"
1759.670177,33827906,"[0, 0, 0, 98, 0, 16, 240, 255]"
1759.670409,33929224,"[0, 0, 169, 6, 0, 24, 48, 0]"
1759.670685,33828290,"[0, 0, 64, 7, 0, 0, 0, 0]"
1759.670946,33929352,"[0, 0, 0, 128, 0, 0, 0, 128]"
1759.671176,33929225,"[0, 0, 152, 6, 0, 23, 32, 0]"
1759.671408,33828289,"[0, 0, 128, 248, 255, 255, 0, 0]"
1759.671662,33929222,"[0, 0, 161, 6, 0, 24, 48, 0]"
1759.67193,33929350,"[0, 0, 0, 128, 0, 0, 0, 128]"
1759.67216,352596180,"[241, 159, 6, 192, 253, 3, 0, 5]"
1759.672414,33929285,"[0, 0, 0, 0, 0, 64, 0, 0]"
1759.672668,33929349,"[246, 124, 160, 51, 0, 0, 0, 128]"
1759.6729,33827907,"[0, 0, 0, 226, 0, 16, 15, 0]"
1759.67318,33828291,"[0, 0, 224, 251, 255, 255, 0, 0]"
1759.673765,33880391,"[33, 0, 0, 42, 1, 0, 25, 0]"
1759.67405,33888320,"[0, 0, 0, 0, 30, 51, 6, 0]"
1759.674285,33888384,"[0, 0, 0, 0, 0, 0, 0, 0]"
1759.674546,33888512,"[0, 0, 0, 0, 0, 0, 0, 0]"
1759.674841,33929226,"[0, 0, 169, 6, 0, 23, 32, 0]"
1759.676025,33888256,"[0, 0, 0, 0, 128, 3, 16, 0]"
1759.6779,33880391,"[34, 9, 10, 233, 7, 3, 4, 30]"
1759.679401,33827908,"[0, 0, 0, 98, 0, 16, 238, 255]"
1759.679701,16848960,"[112, 153, 74, 252, 0, 0, 0, 255]"
1759.679845,33827906,"[0, 0, 0, 98, 0, 16, 231, 255]"
1759.680448,33827905,"[0, 0, 0, 226, 0, 16, 248, 255]"
1759.680663,33929225,"[0, 0, 153, 6, 0, 23, 32, 0]"
1759.683065,352595220,"[8, 0, 0, 80, 255, 8, 128, 1]"
1759.683801,33827907,"[0, 0, 0, 226, 0, 16, 14, 0]"
1759.68434,33880391,"[35, 4, 0, 0, 0, 128, 0, 224]"
1759.684866,134551573,"[0, 0, 0, 0, 0, 0, 0, 0]"
1759.685377,134551637,"[0, 0, 0, 0, 0, 0, 0, 192]"
1759.685904,134551701,"[0, 0, 0, 64, 0, 0, 0, 192]"
1759.686414,134551829,"[40, 38, 24, 250, 0, 192, 125, 0]"
1759.686934,33888256,"[0, 0, 0, 0, 128, 3, 16, 0]"
1759.687399,33929223,"[0, 0, 124, 6, 0, 24, 48, 0]"
1759.687907,33880391,"[36, 171, 0, 106, 25, 14, 0, 84]"
1759.688415,33929351,"[0, 0, 0, 128, 0, 0, 0, 128]"
1759.688922,33929216,"[0, 0, 168, 6, 0, 24, 0, 0]"
1759.689435,33827908,"[0, 0, 0, 98, 0, 16, 244, 255]"
1759.689944,33828292,"[0, 0, 224, 8, 0, 0, 0, 0]"
1759.690404,33929224,"[0, 0, 170, 6, 0, 24, 48, 0]"
1759.691029,33827906,"[0, 0, 0, 98, 0, 16, 246, 255]"
1759.691736,33929353,"[0, 0, 0, 0, 236, 140, 136, 63]"
1759.692249,33929225,"[0, 0, 152, 6, 0, 23, 32, 0]"
1759.692718,352596180,"[241, 159, 6, 192, 253, 3, 0, 5]"
1759.693226,33929349,"[246, 124, 160, 51, 0, 0, 0, 128]"
1759.693702,33828291,"[0, 0, 224, 251, 255, 255, 0, 0]"
1759.694218,33880391,"[37, 97, 108, 111, 110, 32, 70, 88]"
1759.69468,33888320,"[0, 0, 0, 0, 30, 51, 6, 0]"
1759.695154,33888384,"[0, 0, 0, 0, 0, 0, 0, 0]"
1759.695665,33888512,"[0, 0, 0, 0, 0, 0, 0, 0]"
1759.696174,33929226,"[0, 0, 169, 6, 0, 23, 32, 0]"
1759.696699,33888256,"[0, 0, 0, 0, 128, 3, 16, 0]"
1759.697895,33880391,"[38, 32, 118, 101, 114, 115, 46, 32]"
1759.698191,33929287,"[0, 0, 0, 0, 0, 64, 0, 0]"
1759.699409,33827908,"[0, 0, 0, 98, 0, 16, 246, 255]"
1759.69977,33827906,"[0, 0, 0, 98, 0, 16, 249, 255]"
1759.700404,33827905,"[0, 0, 0, 226, 0, 16, 235, 255]"
1759.700653,16848960,"[112, 153, 202, 252, 0, 0, 0, 255]"
1759.700781,33929225,"[0, 0, 152, 6, 0, 23, 32, 0]"
1759.701288,352595220,"[8, 0, 0, 80, 255, 8, 128, 1]"
1759.702267,33827907,"[0, 0, 0, 226, 0, 16, 6, 0]"
1759.702854,33880391,"[39, 67, 0, 0, 0, 0, 0, 0]"
1759.704655,134551573,"[0, 0, 0, 0, 0, 0, 0, 0]"
1759.704798,134551637,"[0, 0, 0, 0, 0, 0, 0, 192]"
1759.70494,134551701,"[0, 0, 0, 64, 0, 0, 0, 192]"
1759.705096,134551765,"[0, 0, 112, 0, 0, 0, 0, 240]"
1759.705238,134551829,"[40, 38, 24, 250, 0, 192, 125, 0]"
1759.70602,33888256,"[0, 0, 0, 0, 128, 3, 16, 0]"
1759.70719,33929223,"[0, 0, 124, 6, 0, 24, 48, 0]"
1759.707328,262271,"[52, 94, 170, 126, 252, 212, 95, 58]"
1759.707863,33880391,"[40, 0, 0, 0, 0, 0, 0, 0]"
1759.708182,33929351,"[0, 0, 0, 128, 0, 0, 0, 128]"
1759.708788,33929216,"[0, 0, 169, 6, 0, 24, 0, 0]"
1759.709463,33827908,"[0, 0, 0, 98, 0, 16, 230, 255]"
1759.709649,33828292,"[0, 0, 224, 8, 0, 0, 0, 0]"
1759.709793,33827906,"[0, 0, 0, 98, 0, 16, 245, 255]"
1759.709931,33929224,"[0, 0, 169, 6, 0, 24, 48, 0]"
