timestamp,id,data
66.284352,12,"[0, 0, 4, 0, 0, 0, 0, 1]"
66.284423,12,"[0, 0, 4, 0, 0, 0, 0, 10]"
66.284495,4,"[0, 0, 0, 0, 0, 0, 0, 27]"
66.284565,12,"[0, 0, 4, 0, 0, 0, 0, 28]"
66.284651,12,"[0, 0, 4, 0, 0, 0, 0, 37]"
66.284737,4,"[0, 0, 0, 0, 0, 0, 0, 54]"
66.284807,12,"[0, 0, 4, 0, 0, 0, 0, 55]"
66.284893,12,"[0, 0, 4, 0, 0, 0, 0, 64]"
66.284979,4,"[0, 0, 0, 0, 0, 0, 0, 81]"
66.285049,12,"[0, 0, 4, 0, 0, 0, 0, 82]"
66.285135,12,"[0, 12, 4, 0, 0, 0, 0, 99]"
66.285292,12,"[0, 12, 4, 0, 0, 0, 0, 109]"
66.285383,4,"[0, 12, 0, 0, 0, 0, 0, 126]"
66.285453,12,"[0, 12, 4, 0, 0, 0, 0, 127]"
66.285469,4,"[0, 48, 0, 0, 0, 0, 0, 255]"
66.285552,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.285567,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.285582,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.285667,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.285696,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.285767,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.285782,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.285812,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.285855,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.285884,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.285899,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.28597,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.286478,12,"[0, 48, 4, 0, 0, 0, 0, 255]"
66.286507,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.286522,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.286733,12,"[0, 48, 4, 0, 0, 0, 0, 255]"
66.286748,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.286763,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.287355,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.28744,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.287455,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.28747,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.287486,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.287863,12,"[0, 48, 4, 0, 0, 0, 0, 255]"
66.288031,12,"[0, 48, 4, 0, 0, 0, 0, 255]"
66.288046,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.28825,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.288265,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.288355,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.288873,12,"[0, 48, 4, 0, 0, 0, 0, 255]"
66.288902,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.288917,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.289197,12,"[0, 48, 4, 0, 0, 0, 0, 255]"
66.289277,12,"[0, 48, 4, 0, 0, 0, 0, 255]"
66.289394,12,"[0, 48, 4, 0, 0, 0, 0, 255]"
66.289492,12,"[0, 48, 4, 0, 0, 0, 0, 255]"
66.289507,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.289522,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.289775,12,"[0, 48, 4, 0, 0, 0, 0, 255]"
66.289832,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.290811,12,"[0, 48, 4, 0, 0, 0, 0, 255]"
66.290896,12,"[0, 48, 4, 0, 0, 0, 0, 255]"
66.290911,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.290982,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.291019,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.291076,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
66.291133,12,"[0, 48, 2, 0, 0, 0, 0, 255]"
